width,height,resolution_mp,entropy,edge_density,color_variance,laplacian_variance,file_size_bytes,optimal_quality,source_file
2040,1356,2.766,7.516,0.04443,3161.696,290.965,3580821,60,0032.png
2040,1356,2.766,7.7262,0.06189,6615.266,2043.834,4191038,30,0033.png
2040,1356,2.766,7.8745,0.14354,5878.876,2167.489,5093060,40,0034.png
2040,1356,2.766,7.6175,0.12955,3540.666,1039.735,4712185,40,0035.png
2040,1536,3.133,6.0304,0.03791,1796.325,464.997,3867791,30,0036.png
2040,1356,2.766,6.6518,0.04707,3277.452,331.597,4049134,60,0037.png
2040,1224,2.497,7.4499,0.12436,5124.436,1682.646,4392156,30,0038.png
2040,1356,2.766,7.6221,0.0828,3602.037,930.058,4550692,60,0039.png
2040,1356,2.766,6.7652,0.01453,994.102,248.023,3422211,90,0040.png
2040,1356,2.766,7.7443,0.0394,5254.892,749.91,4468476,90,0041.png
2040,1356,2.766,7.4949,0.11344,2824.367,2035.249,4858316,60,0042.png
2040,1356,2.766,7.3136,0.07954,7010.068,1056.288,3628985,30,0043.png
2040,2040,4.162,7.7336,0.06772,4173.872,207.458,6340192,30,0044.png
2040,1140,2.326,7.4289,0.12853,5022.072,1733.235,3547082,30,0045.png
1356,2040,2.766,7.4107,0.05086,2429.65,124.094,4040619,40,0046.png
2040,1356,2.766,7.722,0.05558,3269.641,398.691,3885838,30,0047.png
2040,1356,2.766,6.4914,0.013,4619.768,127.189,3921354,90,0048.png
2040,1356,2.766,7.1197,0.09399,3052.205,1113.538,4088326,30,0049.png
2040,1356,2.766,7.8291,0.04402,4610.867,387.408,4169936,60,0050.png
2040,1368,2.791,7.6577,0.11748,4777.956,1621.095,4989488,50,0051.png
2040,1356,2.766,7.606,0.17241,2671.661,1783.564,5472985,50,0052.png
2040,1356,2.766,6.731,0.09319,5146.15,917.173,4096208,30,0053.png
2040,1332,2.717,7.0741,0.1927,2867.063,1177.483,5551029,50,0054.png
2040,1152,2.35,6.9203,0.02105,1900.053,162.604,2768814,60,0055.png
2040,1380,2.815,7.517,0.10006,3734.364,1868.164,4029971,30,0056.png
2040,1356,2.766,6.7025,0.03459,1949.099,448.852,2807362,30,0057.png
2040,1356,2.766,7.6879,0.02651,5289.681,186.22,3690060,30,0058.png
1644,2040,3.354,7.1208,0.04215,5974.192,221.376,5040330,50,0059.png
2040,1224,2.497,7.7266,0.08002,3753.07,1629.211,3969194,50,0060.png
1284,2040,2.619,5.0132,0.11141,1681.045,1268.778,4163784,30,0061.png
2040,1428,2.913,6.6603,0.05851,3929.608,1428.643,4598214,80,0062.png
2040,1584,3.231,7.7557,0.29661,5516.979,5281.286,7774286,30,0063.png
2040,1356,2.766,7.4076,0.01057,3338.589,45.347,3498908,30,0064.png
2040,1188,2.424,6.5336,0.21253,1067.202,3874.306,5422342,50,0065.png
2040,1356,2.766,7.7042,0.15792,3160.272,957.029,5180757,40,0066.png
2040,1320,2.693,6.556,0.02137,3752.654,482.415,3844999,90,0067.png
2040,1380,2.815,7.4824,0.03132,3318.383,331.863,3705311,40,0068.png
1248,2040,2.546,7.906,0.12154,6385.547,2417.614,4709511,30,0069.png
2040,1356,2.766,7.7704,0.17862,5084.62,4316.716,5258268,30,0070.png
1356,2040,2.766,7.5621,0.09683,2944.457,518.388,4852178,60,0071.png
2040,1356,2.766,7.7791,0.10491,4154.135,1341.432,4347763,50,0072.png
2040,1140,2.326,7.2037,0.14678,4339.477,1781.207,4105900,50,0073.png
2040,1356,2.766,7.6252,0.0963,3799.504,576.941,4408579,60,0074.png
2040,1356,2.766,7.8364,0.20693,5042.042,2584.058,5721593,40,0075.png
2040,1572,3.207,7.347,0.10483,3164.909,1125.945,5450499,60,0076.png
2040,1356,2.766,7.3164,0.01735,1845.553,120.065,2548662,30,0077.png
2040,1356,2.766,7.8014,0.1955,3644.656,1663.616,5585900,50,0078.png
2040,1356,2.766,7.2011,0.08074,4989.277,1376.113,3885643,60,0079.png
2040,1332,2.717,6.9631,0.05867,2541.238,899.898,3630474,30,0080.png
2040,1356,2.766,7.122,0.03926,3143.239,97.676,3708016,30,0081.png
2040,1212,2.472,7.8001,0.12309,4077.192,1446.538,4085226,30,0082.png
2040,1164,2.375,7.4009,0.12908,2248.356,1358.035,4480295,80,0083.png
2040,1368,2.791,7.2828,0.07717,3918.295,462.324,3303389,50,0084.png
2040,1356,2.766,7.3887,0.02688,6270.378,219.614,3434226,30,0085.png
2040,1356,2.766,6.5959,0.11033,7878.086,2505.699,4344097,40,0086.png
2040,1356,2.766,7.3821,0.01931,3625.691,433.324,3998468,90,0087.png
2040,1356,2.766,5.9295,0.08909,5849.458,946.844,3685920,30,0088.png
1536,2040,3.133,7.8738,0.059,4941.177,250.087,5062221,70,0089.png
2040,1356,2.766,7.6299,0.04189,4528.284,175.78,3920336,30,0090.png
2040,1536,3.133,7.233,0.07567,4251.578,410.371,4657871,40,0091.png
2040,1152,2.35,6.7817,0.09153,2895.952,1777.396,3512302,30,0092.png
2040,1368,2.791,7.4991,0.16654,5303.439,1143.926,5213695,50,0093.png
2040,1272,2.595,7.4685,0.12206,5726.137,1088.368,4426950,30,0094.png
2040,1356,2.766,7.6038,0.05713,5830.161,380.964,3715256,60,0095.png
2040,1356,2.766,7.6916,0.08046,4053.096,522.893,4387419,40,0096.png
2040,1188,2.424,7.4162,0.08156,4026.932,580.165,3612955,30,0097.png
2040,1536,3.133,7.7408,0.0522,3721.542,353.049,5296212,70,0098.png
2040,1536,3.133,7.7828,0.07158,5385.924,486.709,4887351,60,0099.png
2040,1356,2.766,7.5982,0.05609,6370.089,489.092,3941115,70,0100.png
2040,1512,3.084,4.1323,0.08711,3587.4,1677.234,2901317,30,0101.png
2040,1368,2.791,7.5405,0.17406,3079.183,1892.373,5780992,60,0102.png
2040,1140,2.326,6.556,0.07226,4099.641,1030.269,3717963,80,0103.png
2040,1320,2.693,7.1433,0.12803,2852.886,3928.175,4693471,60,0104.png
2040,1296,2.644,7.4936,0.04926,2444.42,272.209,4388142,80,0105.png
2040,1152,2.35,7.143,0.08125,1874.663,1295.635,3229704,40,0106.png
2040,1356,2.766,7.8739,0.26043,5731.618,5219.586,6085309,30,0107.png
2040,1536,3.133,7.4633,0.11181,4620.836,1763.834,5769515,40,0108.png
2040,1356,2.766,6.4107,0.01029,4447.408,84.624,2385196,30,0109.png
2040,1356,2.766,7.4485,0.03518,2982.621,222.902,3880418,40,0110.png
2040,1356,2.766,7.6646,0.09391,4945.025,1630.988,4252211,30,0111.png
1356,2040,2.766,7.4491,0.01839,4081.758,67.386,3535390,40,0112.png
2040,1368,2.791,7.6299,0.10469,6604.878,529.654,4498602,40,0113.png
1368,2040,2.791,7.6363,0.04095,4928.626,408.492,3771208,40,0114.png
2040,1536,3.133,3.9136,0.06771,2717.893,894.597,2684582,40,0115.png
2040,1356,2.766,7.8799,0.0636,6565.937,696.597,4137485,30,0116.png
2040,1356,2.766,7.6467,0.13114,4343.099,1178.906,4931689,60,0117.png
2040,1488,3.036,7.0837,0.02914,2379.116,699.075,4850628,90,0118.png
1356,2040,2.766,7.3931,0.09781,3848.429,1316.58,3590642,30,0119.png
2040,1356,2.766,7.4395,0.0258,7099.803,221.188,3179052,40,0120.png
2040,1356,2.766,7.6347,0.02401,3395.904,136.781,3172085,30,0121.png
2040,960,1.958,7.3217,0.14459,4847.113,1124.119,3805639,40,0122.png
2040,1536,3.133,7.1204,0.03907,3469.91,327.26,4667439,70,0123.png
1356,2040,2.766,6.2925,0.03277,729.386,107.246,3588974,30,0124.png
2040,1356,2.766,7.676,0.0645,5248.961,435.136,4107452,40,0125.png
2040,1464,2.987,7.4277,0.07345,3526.209,301.803,5076746,60,0126.png
2040,1356,2.766,7.6041,0.04856,5780.752,678.67,3652593,50,0127.png
2040,1284,2.619,7.2907,0.04823,6094.192,282.226,3847960,50,0128.png
2040,1356,2.766,7.6879,0.19512,3700.792,3145.045,5987636,60,0129.png
2040,1356,2.766,7.863,0.043,4252.221,140.802,3751764,30,0130.png
2040,1356,2.766,7.2276,0.08677,4626.556,976.95,4158566,60,0131.png
2040,1296,2.644,7.4611,0.14653,3885.759,1742.504,4859588,50,0132.png
2040,1356,2.766,6.7439,0.02832,6173.053,224.893,3294546,30,0133.png
1776,2040,3.623,7.6926,0.08698,4801.528,902.285,5456365,40,0134.png
2040,1344,2.742,7.7596,0.11903,3689.748,668.523,4999788,50,0135.png
2040,1356,2.766,7.1181,0.02495,1783.134,129.56,3019799,30,0136.png
2040,1332,2.717,7.3776,0.05185,4079.058,893.914,4038525,30,0137.png
2040,1356,2.766,5.7976,0.0227,534.633,171.618,2059654,30,0138.png
2040,948,1.934,7.6777,0.18133,4490.404,1880.103,4067175,60,0139.png
2040,1356,2.766,7.4816,0.16889,2391.449,1385.669,5642440,50,0140.png
2040,1356,2.766,6.7228,0.10334,1726.454,1666.349,4817958,60,0141.png
2040,1356,2.766,7.4579,0.18718,5478.112,4277.75,5237731,40,0142.png
2040,1356,2.766,7.8026,0.09733,3823.534,545.413,4117394,70,0143.png
2040,1356,2.766,7.7354,0.1317,5437.832,1940.868,4691252,30,0144.png
2040,732,1.493,7.8475,0.18644,7627.348,3823.374,2746080,40,0145.png
2040,1356,2.766,7.7385,0.14317,7021.363,3086.112,4613058,40,0146.png
2040,1656,3.378,7.5836,0.13149,3306.782,2009.595,6491516,60,0147.png
2040,1356,2.766,7.737,0.09563,6273.235,1141.649,4231787,40,0148.png
2040,1752,3.574,7.474,0.13527,4226.286,2771.31,6098112,40,0149.png
1164,2040,2.375,6.2742,0.05571,1277.586,1400.88,3479321,30,0150.png
2040,1356,2.766,7.6592,0.18636,2816.59,2436.816,5036117,30,0151.png
2040,1356,2.766,7.409,0.01221,3816.318,48.873,3449680,30,0152.png
2040,1356,2.766,7.612,0.06738,4622.286,501.022,4449454,50,0153.png
2040,1356,2.766,7.2074,0.06209,4522.642,1761.889,3820547,30,0154.png
2040,2040,4.162,7.2548,0.06856,3446.847,799.704,5175638,30,0155.png
2040,1356,2.766,7.7407,0.03879,3338.396,961.611,3859351,30,0156.png
2040,1356,2.766,7.4082,0.01263,4369.308,25.324,2591880,30,0157.png
2040,1224,2.497,7.7241,0.11623,3759.203,1771.731,4131437,50,0158.png
2040,1356,2.766,7.5109,0.04937,4022.455,390.519,3817788,80,0159.png
2040,1356,2.766,7.8912,0.1443,4689.216,1245.008,5478825,60,0160.png
2040,1260,2.57,7.522,0.11452,4524.208,902.502,4346373,60,0161.png
1368,2040,2.791,7.7314,0.1556,3936.192,1412.652,5318208,30,0162.png
2040,1356,2.766,7.127,0.07898,2274.426,961.763,4108233,30,0163.png
2040,1356,2.766,6.0182,0.04234,2031.846,287.528,2876204,30,0164.png
2040,1356,2.766,7.4608,0.01893,6355.635,148.108,3647921,80,0165.png
2040,1356,2.766,7.7939,0.13321,3602.479,2050.349,4490013,30,0166.png
1356,2040,2.766,7.1324,0.01527,5772.204,135.104,2688517,30,0167.png
2040,1356,2.766,6.6781,0.01993,3152.05,83.461,3353629,30,0168.png
2040,1356,2.766,7.7058,0.06963,3835.399,265.446,4406692,50,0169.png
2040,1152,2.35,7.077,0.09976,7619.143,4213.524,3781511,30,0170.png
2040,1536,3.133,7.4795,0.08615,4463.628,957.41,4958534,70,0171.png
2040,1260,2.57,7.1987,0.07691,3823.589,1037.605,3791875,30,0172.png
2040,1356,2.766,7.745,0.11002,5436.757,1448.233,5117614,70,0173.png
2040,1308,2.668,7.1607,0.12342,3054.305,916.499,4918370,60,0174.png
2040,1068,2.179,7.122,0.15659,2561.384,1858.486,3936667,50,0175.png
2040,1644,3.354,4.6369,0.12121,3540.329,3532.733,3992042,30,0176.png
2040,1356,2.766,7.2517,0.02409,5410.068,159.993,3321921,30,0177.png
2040,1356,2.766,7.7374,0.11932,3725.807,698.048,4926863,60,0178.png
2040,1356,2.766,7.114,0.06873,2449.004,397.956,3989844,60,0179.png
2040,1356,2.766,7.043,0.05815,6686.399,495.081,3701226,60,0180.png
2040,1536,3.133,7.4428,0.10982,2708.026,846.357,5567804,70,0181.png
2040,1248,2.546,7.8792,0.21112,4472.134,821.516,4990517,30,0182.png
2040,1356,2.766,7.098,0.09711,2435.531,658.53,4932404,60,0183.png
2040,1356,2.766,7.7911,0.06893,6513.976,917.687,4338512,40,0184.png
2040,1152,2.35,6.9373,0.01209,2506.094,132.307,2688960,30,0185.png
2040,1356,2.766,5.861,0.13295,3716.9,11190.433,4387751,30,0186.png
2040,1356,2.766,7.8775,0.0435,4578.873,188.709,4196521,50,0187.png
2040,1548,3.158,6.3375,0.09792,7419.401,1307.722,4035285,30,0188.png
2040,1356,2.766,7.828,0.16309,5345.509,5015.721,5400742,30,0189.png
2040,1356,2.766,7.1836,0.05288,2569.563,187.282,3887836,30,0190.png
2040,1152,2.35,7.8616,0.07779,5992.406,521.106,3699348,40,0191.png
2040,1452,2.962,7.8091,0.18407,4939.104,2064.584,5798680,30,0192.png
2040,1356,2.766,5.8586,0.03664,4710.363,245.18,1809796,30,0193.png
2040,1356,2.766,6.7292,0.01692,5232.648,195.43,2521250,30,0194.png
2040,1356,2.766,7.2224,0.03548,5655.382,319.717,4089360,90,0195.png
2040,1356,2.766,7.2484,0.06642,4352.852,1052.712,4312134,80,0196.png
2040,1356,2.766,7.7466,0.07728,5127.371,347.773,4568404,40,0197.png
2040,1356,2.766,7.0708,0.0652,3421.259,339.985,3875904,30,0198.png
2040,1548,3.158,7.8403,0.0694,4272.032,459.371,4892493,30,0199.png
2040,1356,2.766,7.3614,0.02298,3911.219,128.318,3711969,30,0200.png
2040,1536,3.133,7.7824,0.1789,4443.795,2088.978,6169079,50,0201.png
2040,1356,2.766,7.5745,0.15299,2985.436,1746.745,4766446,50,0202.png
2040,1356,2.766,6.9967,0.18926,1699.924,2135.346,5782036,60,0203.png
2040,1260,2.57,7.4295,0.04091,3449.986,122.844,3526651,50,0204.png
2040,852,1.738,7.5703,0.14815,4054.295,1937.639,3424633,60,0205.png
2040,1356,2.766,7.8023,0.09733,5770.788,1016.916,4286965,40,0206.png
2040,1356,2.766,7.7248,0.10302,3870.114,777.295,4933316,60,0207.png
2040,1356,2.766,7.6411,0.10343,5462.432,1431.153,4376472,40,0208.png
2040,1356,2.766,7.3543,0.06378,2849.906,1524.703,3759775,40,0209.png
2040,1356,2.766,7.7615,0.143,3963.9,1004.596,5201340,60,0210.png
2040,1356,2.766,7.2295,0.21465,2061.766,1608.036,5883999,60,0211.png
2040,1536,3.133,7.1006,0.18334,4853.711,6510.192,6840822,40,0212.png
2040,1356,2.766,7.4546,0.10361,2573.034,5834.02,5897820,90,0213.png
2040,1356,2.766,7.5238,0.18142,5890.587,6335.051,6128597,50,0214.png
2040,1560,3.182,7.3449,0.01505,3714.392,92.212,3717915,40,0215.png
2040,1632,3.329,7.804,0.19375,3900.901,6355.058,7751722,60,0216.png
2040,2040,4.162,7.2603,0.00565,2466.119,113.692,4977257,60,0217.png
2040,1356,2.766,7.5193,0.16653,6344.377,3129.918,5027157,40,0218.png
2040,1368,2.791,7.485,0.05065,3900.335,362.748,4293020,70,0219.png
2040,1356,2.766,7.5034,0.08196,3766.435,1413.38,4716659,60,0220.png
2040,1356,2.766,7.6976,0.05985,3746.879,324.494,4802998,70,0221.png
2040,1164,2.375,7.3545,0.07163,3197.102,930.36,3423601,60,0222.png
2040,1356,2.766,7.5938,0.07119,3210.501,1033.574,4005613,50,0223.png
2040,1356,2.766,7.3438,0.04273,4594.709,224.184,3711501,40,0224.png
2040,1356,2.766,7.8019,0.03117,4568.975,117.828,3728544,30,0225.png
2040,1356,2.766,7.7385,0.12074,5506.288,1064.038,4696172,60,0226.png
1356,2040,2.766,7.6206,0.04585,4503.763,665.143,3087303,30,0227.png
2040,1356,2.766,7.4867,0.03004,3983.143,251.824,3861504,80,0228.png
2040,1296,2.644,7.6653,0.10289,3308.207,1646.782,4179631,40,0229.png
2040,1392,2.84,7.1088,0.07102,3437.852,443.239,2614301,40,0230.png
2040,1356,2.766,7.0566,0.17661,3543.249,2283.314,5257460,50,0231.png
2040,1356,2.766,7.5018,0.081,5701.273,771.818,4014472,70,0232.png
2040,1368,2.791,7.336,0.08786,2625.271,692.695,3972318,50,0233.png
2040,1356,2.766,7.2132,0.10791,4044.014,838.622,4527722,40,0234.png
2040,1356,2.766,7.4085,0.05559,2615.408,632.005,4329882,60,0235.png
2040,1356,2.766,7.8517,0.08658,5487.083,605.223,3980005,40,0236.png
2040,1140,2.326,7.6425,0.09859,3993.616,2432.738,3682782,30,0237.png
1296,2040,2.644,7.2694,0.10575,3120.785,693.798,4585149,60,0238.png
2040,1152,2.35,7.4636,0.05752,4949.215,494.633,3052586,30,0239.png
2040,1836,3.745,7.4084,0.11855,2711.218,789.734,5784752,30,0240.png
2040,1356,2.766,7.2908,0.03583,2848.603,230.159,3071769,50,0241.png
2040,1356,2.766,7.5306,0.04549,5510.709,401.605,4523228,70,0242.png
2040,780,1.591,7.6148,0.19976,5709.378,2963.234,3190313,50,0243.png
2040,1536,3.133,7.581,0.11587,4298.153,1586.452,5461571,30,0244.png
2040,1536,3.133,7.9581,0.13764,6295.496,839.183,6096630,40,0245.png
1356,2040,2.766,7.5659,0.12128,5588.938,1969.458,4677719,30,0246.png
2040,1356,2.766,7.3687,0.07552,4913.696,765.34,4436171,60,0247.png
2040,1356,2.766,7.8089,0.10231,5217.631,552.76,4793051,30,0248.png
2040,1356,2.766,7.4378,0.08527,3167.214,520.844,4905034,60,0249.png
2040,1356,2.766,7.352,0.04403,2607.702,324.509,3917908,40,0250.png
2040,1356,2.766,7.1421,0.0082,2545.117,45.331,3345358,30,0251.png
2040,1356,2.766,7.0491,0.03026,2618.439,224.508,3734650,40,0252.png
2040,1356,2.766,7.1961,0.01796,2431.266,139.605,3164833,30,0253.png
2040,1356,2.766,7.3288,0.11702,7285.607,1712.36,5111249,50,0254.png
2040,1356,2.766,7.4395,0.05784,4311.779,566.525,3717742,40,0255.png
2040,1356,2.766,6.0768,0.07473,6229.808,1549.635,3726496,30,0256.png
2040,1356,2.766,7.5686,0.10281,8116.98,1680.193,4904672,40,0257.png
2040,1356,2.766,7.3929,0.04617,3077.919,387.258,4516282,50,0258.png
2040,1296,2.644,7.7702,0.0799,6263.185,461.607,4052912,60,0259.png
2040,1356,2.766,6.8223,0.07661,1407.431,840.788,4251034,40,0260.png
2040,1356,2.766,7.488,0.30236,2394.868,3991.777,6610607,40,0261.png
2040,1356,2.766,7.3389,0.10988,5564.519,1230.676,4495431,40,0262.png
2040,1332,2.717,6.7933,0.01823,9956.103,131.581,2503700,30,0263.png
2040,1356,2.766,7.7288,0.08333,4690.843,1283.572,3621321,30,0264.png
2040,1356,2.766,6.7763,0.07888,3523.439,455.764,4314965,30,0265.png
2040,1356,2.766,7.3741,0.10885,3088.76,713.674,4745246,60,0266.png
2040,1356,2.766,6.949,0.02749,3749.98,417.358,3575617,30,0267.png
2040,1356,2.766,7.1004,0.04166,3977.776,232.286,3298616,40,0268.png
2040,1632,3.329,7.5055,0.03306,3034.634,202.28,5048821,50,0269.png
2040,1356,2.766,7.7192,0.09106,4167.341,863.14,4973017,60,0270.png
2040,1536,3.133,7.1103,0.12031,6383.932,1090.739,4784466,40,0271.png
2040,1188,2.424,7.205,0.02977,3368.507,210.926,2858540,30,0272.png
2040,1356,2.766,7.3755,0.07865,4021.529,202.776,4495600,30,0273.png
2040,1356,2.766,7.7753,0.14893,4077.925,1343.891,5432055,60,0274.png
2040,1356,2.766,7.3203,0.04398,8040.843,400.284,3538671,50,0275.png
2040,1356,2.766,7.0707,0.06418,7370.404,855.64,3671008,40,0276.png
2040,1356,2.766,7.7116,0.08816,5449.649,1441.134,4470694,30,0277.png
1356,2040,2.766,6.4851,0.03493,9344.602,131.076,3049080,30,0278.png
2040,1356,2.766,7.6284,0.04272,3321.508,263.859,3906297,50,0279.png
2040,1152,2.35,7.4141,0.06019,5238.203,671.69,3246345,60,0280.png
2040,1152,2.35,7.6123,0.22299,6049.792,5912.683,5272421,30,0281.png
2040,1356,2.766,7.7852,0.04405,4891.458,212.989,3765065,30,0282.png
2040,1356,2.766,7.2063,0.1412,5060.156,2297.1,4594474,50,0283.png
2040,1356,2.766,7.5548,0.09315,3728.19,325.306,4409799,40,0284.png
1236,2040,2.521,7.9094,0.07491,5188.659,596.831,4212559,60,0285.png
2040,1536,3.133,6.8929,0.10253,6812.667,511.059,4583018,60,0286.png
2040,1356,2.766,7.3513,0.07275,2718.498,481.854,3840421,40,0287.png
2040,1356,2.766,7.4127,0.12895,3512.625,1476.919,5434985,70,0288.png
1356,2040,2.766,7.0214,0.0742,6211.904,462.199,3361635,30,0289.png
2040,1356,2.766,7.4167,0.07009,3604.417,564.091,4279968,30,0290.png
2040,1260,2.57,7.7722,0.28371,4068.319,2611.608,5826427,40,0291.png
2040,1356,2.766,7.4408,0.10546,3922.52,1088.251,4725589,40,0292.png
2040,1152,2.35,7.2714,0.1362,3923.692,1577.002,3892069,60,0293.png
2040,1356,2.766,7.6666,0.05042,4214.111,887.653,4028025,30,0294.png
2040,1356,2.766,6.9823,0.05547,2390.396,122.421,4005971,30,0295.png
2040,1356,2.766,7.7784,0.04863,4772.132,369.093,3758311,30,0296.png
2040,1344,2.742,7.741,0.2876,3767.357,2606.726,6254126,40,0297.png
2040,1224,2.497,7.5819,0.08072,2977.513,511.8,4278319,30,0298.png
2040,1392,2.84,7.7096,0.1155,4866.868,960.676,4914837,30,0299.png
2040,1320,2.693,7.5343,0.14482,6122.558,1257.785,4529325,60,0300.png
2040,1356,2.766,7.6049,0.00231,3892.659,39.656,2747178,30,0301.png
2040,1356,2.766,7.4603,0.10955,2836.469,2007.956,4943778,70,0302.png
2040,1356,2.766,7.6159,0.12953,5232.167,1153.724,5051451,50,0303.png
2040,1224,2.497,7.3483,0.10908,5997.936,1201.727,4233993,50,0304.png
2040,1356,2.766,7.7216,0.13886,5727.481,868.715,5386657,80,0305.png
2040,1356,2.766,7.8767,0.11214,5729.832,700.643,4384371,40,0306.png
2040,1356,2.766,7.4312,0.02782,4136.915,122.468,3565146,30,0307.png
2040,1356,2.766,7.5928,0.1114,3599.266,753.859,4357180,30,0308.png
2040,1356,2.766,7.5941,0.08065,4526.937,534.473,4407908,30,0309.png
2040,1356,2.766,7.4703,0.11145,4401.116,1194.161,4520246,40,0310.png
2040,1188,2.424,7.3229,0.19471,6941.261,2003.075,4301016,50,0311.png
1716,2040,3.501,7.5899,0.14043,5470.527,3154.133,6084882,40,0312.png
1356,2040,2.766,7.5173,0.17795,5954.69,3601.348,5620288,40,0313.png
2040,1356,2.766,7.5244,0.04653,4625.056,576.949,3739008,60,0314.png
2040,1200,2.448,6.7389,0.04929,1297.735,920.829,3122926,30,0315.png
2040,1332,2.717,7.4341,0.08036,2819.786,174.599,3977616,30,0316.png
2040,1356,2.766,7.5063,0.14587,4950.155,2878.413,5408374,40,0317.png
2040,1356,2.766,7.3687,0.0564,3119.519,327.178,4169286,40,0318.png
2040,1356,2.766,7.5559,0.02509,3488.422,146.922,3528336,30,0319.png
2040,1356,2.766,7.8767,0.201,7141.293,5016.334,5488697,30,0320.png
2040,1356,2.766,6.9055,0.03134,3190.622,99.569,3330547,30,0321.png
2040,1644,3.354,7.4665,0.07899,2459.686,963.964,5642675,80,0322.png
2040,1356,2.766,7.7427,0.12706,4133.196,1007.251,4510614,30,0323.png
1356,2040,2.766,7.2376,0.21816,4736.189,2403.876,5982323,50,0324.png
2040,1356,2.766,7.641,0.12965,4641.498,1135.892,4698004,40,0325.png
2040,1356,2.766,6.5896,0.04376,3322.36,345.225,4595376,90,0326.png
2040,1152,2.35,6.4782,0.08688,2272.41,1162.332,2250553,30,0327.png
2040,1356,2.766,7.704,0.13743,4607.141,2198.943,5600092,70,0328.png
1356,2040,2.766,7.847,0.04806,5596.625,188.565,3823453,30,0329.png
2040,1140,2.326,6.7613,0.0526,1149.155,529.689,4210052,90,0330.png
1356,2040,2.766,7.9008,0.04897,4879.274,144.879,4120582,30,0331.png
2040,1224,2.497,7.5954,0.16729,3627.548,3692.332,5373724,40,0332.png
2040,1356,2.766,7.6348,0.1922,3002.347,1979.957,5840621,50,0333.png
2040,1356,2.766,7.3708,0.12719,2517.443,1510.372,5416167,70,0334.png
2040,1272,2.595,7.4744,0.14682,2474.221,787.739,4551944,50,0335.png
2040,1356,2.766,7.4322,0.12339,3594.561,1908.601,4999271,50,0336.png
1632,2040,3.329,6.9647,0.04456,4653.676,183.74,4421157,30,0337.png
2040,1356,2.766,7.1651,0.05242,6968.168,1021.268,3828003,30,0338.png
2040,1356,2.766,7.5909,0.10282,6121.128,317.728,4983250,50,0339.png
2040,744,1.518,7.0969,0.11604,2474.387,1170.841,2380709,30,0340.png
2040,1440,2.938,7.3136,0.06403,5394.666,642.968,4488800,40,0341.png
2040,1356,2.766,7.7768,0.15145,6684.835,2870.819,4818940,30,0342.png
2040,1200,2.448,7.4357,0.11096,6680.644,1157.646,4353946,70,0343.png
1356,2040,2.766,7.1484,0.02921,3031.35,160.39,3905367,40,0344.png
2040,1356,2.766,7.4098,0.16786,2476.767,1147.768,4817597,30,0345.png
